Item type,Authors,Title,Date published
Journal Article,Van Diejen JF,$q$-Deformation of the Kac-Sylvester tridiagonal matrix,2021
Journal Article,"Truhar N,Li RC",On an eigenvector-dependent nonlinear eigenvalue problem from the perspective of relative perturbation theory,2021
Journal Article,"Li JF,Li W,Duan XF,Xiao M",Newton's method for the parameterized generalized eigenvalue problem with nonsquare matrix pencils,2021
Journal Article,"Bauer JO,Drabant B",Principal loading analysis,2021
Journal Article,Kamenski L,Sharp Bounds on the Smallest Eigenvalue of Finite Element Equations with Arbitrary Meshes without Regularity Assumptions,2021
Journal Article,Yang Z,Accurate computations of eigenvalues of quasi-Cauchy-Vandermonde matrices,2021
Journal Article,"Yamamoto Y,Oksa G,Vajtersic M",On convergence to eigenvalues and eigenvectors in the block-Jacobi EVD algorithm with dynamic ordering,2021
Journal Article,"Upadhyaya P,Jarlebring E,Rubensson EH",A density matrix approach to the convergence of the self-consistent field iteration,2021
Journal Article,"Yu P,Zhang G,Zhang Y",Decoupling of cubic polynomial matrix systems,2021
Journal Article,"Zhou S,Bai Y",Convergence analysis of Oja's iteration for solving online PCA with nonzero-mean samples,2021
Journal Article,"Giani S,Grubisic L,Heltai L,Mulita O",Smoothed-Adaptive Perturbed Inverse Iteration for Elliptic Eigenvalue Problems,2021
Journal Article,Da Rocha Z,Common Points Between Perturbed Chebyshev Polynomials of Second Kind,2021
Journal Article,Mahfoudhi K,Generalized determinant pseudo-spectrum of matrix pencils,2021
Journal Article,"Fasi M,Robol L",Sampling the eigenvalues of random orthogonal and unitary matrices,2021
Journal Article,"Qiu D,Bai M,Ng M,Zhang X",Nonlocal robust tensor recovery with nonconvex regularization,2021
Journal Article,"Yue SF,Zhang JJ",An extended shift-invert residual Arnoldi method,2021
Journal Article,"Berkolaiko G,Parulekar A",Locating Conical Degeneracies in the Spectra of Parametric Self-adjoint Matrices,2021
Journal Article,"Hari V,Begovic Kovac E",On the convergence of complex Jacobi methods,2021
Journal Article,"Zhijun W,Chaoqian L",New localization sets of the pseudospectra for matrices with applications on the soil ecosystems,2021
Journal Article,"Liang ZZ,Zhang G",Analysis of modified SSOR method for augmented linear systems,2021
Journal Article,Drmac Z,Numerical methods for accurate computation of the eigenvalues of Hermitian matrices and the singular values of general matrices,2021
Journal Article,"Krumnow C,Pfeffer M,Uschmajew A",Computing eigenspaces with low rank constraints,2021
Journal Article,"Chen F,Miao CQ,Muratova GV",On Convergence of MRQI and IMRQI Methods for Hermitian Eigenvalue Problems,2021
Journal Article,"Wei W,Zhang HS,Yang X,Chen X",Randomized Generalized Singular Value Decomposition,2021
Journal Article,Shirokov DS,A note on the hyperbolic singular value decomposition without hyperexchange matrices,2021
Journal Article,"Webber RJ,Thiede EH,Dow D,Dinner AR,Weare J",Error Bounds for Dynamical Spectral Estimation,2021
Journal Article,"Benner P,Liang X,Miodragovic S,Truhar N",Relative perturbation theory for quadratic Hermitian eigenvalue problems,2021
Journal Article,"Ishikawa KI,Sogabe T",A thick-restart Lanczos type method for Hermitian $J$-symmetric eigenvalue problems,2021
Journal Article,"Delgado J,Orera H,Pena JM",Accurate bidiagonal decomposition and computations with generalized Pascal matrices,2021
Journal Article,"Hernandez TM,Van Beeumen R,Caprio MA,Yang C",A greedy algorithm for computing eigenvalues of a symmetric matrix with localized eigenvectors,2021
Journal Article,"Thitsa M,Clouatre M,Verriest E,Coogan S,Martin C",A numerically stable dynamic mode decomposition algorithm for nearly defective systems,2021
Journal Article,"Bai X,Huang GX,Lei XJ,Reichel L,Yin F",A novel modified TRSVD method for large-scale linear discrete ill-posed problems,2021
Journal Article,"Bai ZZ,Wu WT,Muratova GV",The power method and beyond,2021
Journal Article,"Sarkar A,Lee D",Convergence of eigenvector continuation,2021
Journal Article,"Cicone A,Zhou H",Numerical analysis for iterative filtering with new efficient implementations based on FFT,2021
Journal Article,"He J,Liu Y,Xu G",New S-type inclusion theorems for the M-eigenvalues of a 4th-order partially symmetric tensor with applications,2021
Journal Article,"Li C,Liu Y,Li YT",Note on $Z$-eigenvalue inclusion theorems for tensors,2021
Journal Article,"Yu VW,Moussa J,Kocircus P,Marek A,Messmer P,Yoon M,Lederer H,Blum V",GPU-acceleration of the ELPA2 distributed eigensolver for dense symmetric and Hermitian eigenproblems,2021
Journal Article,Petkov PH,Componentwise Perturbation Analysis of the Schur Decomposition of a Matrix,2021
Journal Article,"Chen X,Vong SW",On worst-case condition numbers of a multiple nonzero finite generalized singular value,2021
Journal Article,"Tatjer JC,Vieiro A",Dynamics of the QR-flow for upper Hessenberg real matrices,2021
Journal Article,"Sun R,Ye Y",Worst-case complexity of cyclic coordinate descent: $O(n^2)$ gap with randomized version,2021
Journal Article,"Marco A,Martinez JJ,Viana R","Error analysis, perturbation theory and applications of the bidiagonal decomposition of rectangular totally positive h-Bernstein-Vandermonde matrices",2021
Journal Article,"Kulikova MV,Tsyganova JV,Kulikov GY",SVD-based state and parameter estimation approach for generalized Kalman filtering with application to GARCH-in-mean estimation,2021
Journal Article,"Xu WR,Bebiano N,Chen GL",An inverse eigenvalue problem for modified pseudo-Jacobi matrices,2021
Journal Article,"Lin L,Tong Y",Low-rank representation of tensor network operators with long-range pairwise interactions,2021
Journal Article,Bosner N,Parallel reduction of four matrices to condensed form for a generalized matrix eigenvalue algorithm,2021
Journal Article,"Zhang J,Bu C",An iterative method for finding the spectral radius of an irreducible nonnegative tensor,2021
Journal Article,"Tajaddini A,Wu G,Saberi-Movahed F,Azizi Zadeh N",Two new variants of the simpler block GMRES method with vector deflation and eigenvalue deflation for multiple linear systems,2021
Journal Article,"Embree M,Loe JA,Morgan R",Polynomial preconditioned Arnoldi with stability control,2021
Journal Article,Zimmermann R,A geometric approach to subspace updates and orthogonal matrix decompositions under rank-one modifications,2021
Journal Article,"Liu WH,Jin X",A study on T-eigenvalues of third-order tensors,2021
Journal Article,"Luo G,Yang Q",The point-wise convergence of shifted symmetric higher order power method,2021
Journal Article,"Tian Z,Zhang Y,Wang J,Gu C",Several relaxed iteration methods for computing PageRank,2021
Journal Article,Dembele D,A method for computing the Perron root for primitive matrices,2021
Journal Article,"Wen C,Hu QY,Pu BY,Huang YY",Acceleration of an adaptive generalized Arnoldi method for computing PageRank,2021
Journal Article,"Kahl K,Lang B",Hypergraph edge elimination---a symbolic phase for Hermitian eigensolvers based on rank-1 modifications,2021
Journal Article,"Kostic V,Cvetkovic L,Sanca E",From pseudospectra of diagonal blocks to pseudospectrum of a full matrix,2021
Journal Article,"Zhang L,Chen C",A Newton-type algorithm for the tensor eigenvalue complementarity problem and some applications,2021
Journal Article,"Wen C,Hu QY,Yin G,Gu XM,Shen ZL",An adaptive power-GArnoldi algorithm for computing PageRank,2021
Journal Article,"Cardoso HA,De Barros Melo S,De Abreu Silva RM,De Carvalho SA,De Carvalho Santos SG,Dantas CC",Spectral analysis and optimization of the condition number problem,2021
Journal Article,"Al Mugahwi M,De la Cruz Cabrera O,Noschese S,Reichel L",Functions and eigenvectors of partially known matrices with applications to network analysis,2021
Journal Article,"Feng B,Wu G",Revisiting the low-rank eigenvalue problem,2021
Journal Article,"Rezaiee-Pajand M,Sarmadi H,Entezami A",A hybrid sensitivity function and Lanczos bidiagonalization-Tikhonov method for structural model updating: application to a full-scale bridge structure,2021
Journal Article,"Axelsson O,Liang ZZ,Kruzik J,Horak D",Inner product free iterative solution and elimination methods for linear systems of a three-by-three block matrix form,2021
Journal Article,"Hu QY,Wen C,Huang TZ,Shen ZL,Gu XM",A variant of the Power-Arnoldi algorithm for computing PageRank,2021
Journal Article,"Bistrian DA,Dimitriu G,Navon IM",Application of deterministic and randomized dynamic mode decomposition in epidemiology and fluid dynamics,2020
Journal Article,"Li Z,Wang X",The verification of the spectra of the skew-symmetric matrix,2020
Journal Article,Behera N,Generalized Fiedler pencils with repetition for rational matrix functions,2020
Journal Article,"Liu Y,Li C,Li YT",A refined bound for the $Z_1$-spectral radius of tensors,2020
Journal Article,"Tang T,Yang J","Finding the maximal eigenpair for a large, dense, symmetric matrix based on Mufa Chen's algorithm",2020
Journal Article,Novakovic V,Batched computation of the singular value decompositions of order two by the AVX-512 vectorization,2020
Journal Article,"Li Z,Wang X",Verified Error Bounds for Real Eigenvalues of Real Symmetric and Persymmetric Matrices,2020
Journal Article,Miyajima S,Verified computation of eigenpairs in the generalized eigenvalue problem for nonsquare matrix pencils,2020
Journal Article,"Nedamani FA,Sheikhani AH,Najafi HS",A New Algorithm for Solving Large-Scale Generalized Eigenvalue Problem Based on Projection Methods,2020
Journal Article,Jia Z,Regularization properties of Krylov iterative solvers CGME and LSMR for linear discrete ill-posed problems with an application to truncated randomized SVDs,2020
Journal Article,Kalantzis V,A domain decomposition Rayleigh-Ritz algorithm for symmetric generalized eigenvalue problems,2020
Journal Article,"Khimich OM,Popov OV,Chistyakov OV,Sidoruk VA",A parallel algorithm for solving the partial eigenvalue problem for block-diagonal bordered matrices,2020
Journal Article,"Etter S,Massatt D,Luskin M,Ortner C",Modeling and computation of Kubo conductivity for two-dimensional incommensurate bilayers,2020
Journal Article,"Schwarz A,Kjelgaard Mikkelsen CC,Karlsson L",Robust parallel eigenvector computation for the non-symmetric eigenvalue problem,2020
Journal Article,"Das RK,Alam R",Palindromic linearizations of palindromic matrix polynomials of odd degree obtained from Fiedler-like pencils,2020
Journal Article,Mehl C,On the existence of Schur-like forms for matrices with symmetry structures,2020
Journal Article,"Mach T,Steel T,Vandebril R,Watkins D",Pole-swapping algorithms for alternating and palindromic eigenvalue problems,2020
Journal Article,"Lotz M,Noferini V","Wilkinson's bus: weak condition numbers, with an application to singular polynomial eigenproblems",2020
Journal Article,"Ravibabu M,Singh A",The least squares and line search in extracting eigenpairs in Jacobi-Davidson method,2020
Journal Article,"Edelman A,Wang Y","The GSVD: where are the ellipses?, matrix trigonometry, and more",2020
Journal Article,"Williams-Young DB,Beckman PG,Yang C",A shift selection strategy for parallel shift-invert spectrum slicing in symmetric self-consistent eigenvalue computation,2020
Journal Article,"Thies J,Roehrig-Zoellner M,Overmars N,Basermann A,Ernst D,Hager G,Wellein G","PHIST: a pipelined, hybrid-parallel iterative solver toolkit",2020
Journal Article,"Drmac Z,Sain Glibic I",New numerical algorithm for deflation of infinite and zero eigenvalues and full solution of quadratic eigenvalue problems,2020
Journal Article,Miao CQ,On Chebyshev-Davidson method for symmetric generalized eigenvalue problems,2020
Journal Article,Lu D,Nonlinear eigenvector methods for convex minimization over the numerical range,2020
Journal Article,"He J,Xu G,Liu Y",Some inequalities for the minimum M-eigenvalue of elasticity M-tensors,2020
Journal Article,"Fan J,Nie J,Zhao R",The maximum tensor complementarity eigenvalues,2020
Journal Article,"Girko V,Shevchuk BV,Shevchuk LD",RAP-method (random perturbation method) for minimax $G$-filter,2020
Journal Article,"He Q,Wang Y",Inexact Newton-type methods based on Lanczos orthonormal method and application for full waveform inversion,2020
Journal Article,Stanic Z,Star complementary strongly regular decompositions of strongly regular graphs,2020
Journal Article,"Chen Y,Chang J",A trust region algorithm for computing extreme eigenvalues of tensors,2020
Journal Article,"Stampfer K,Plonka G",The generalized operator based Prony method,2020
Journal Article,Melman A,Refinement of Pellet radii for matrix polynomials,2020
Journal Article,"Jin P,Tang Y,Zhu A",Unit triangular factorization of the matrix symplectic group,2020
Journal Article,Nazarov VG,Estimation of the calculation accuracy in the problem of partial identification of a substance,2020
Journal Article,"Chen L,Jiang X,Liu X,Zhou Z",Robust low-rank tensor recovery via nonconvex singular value minimization,2020
Journal Article,,Erratum to: Nonsmooth algorithms for minimizing the largest eigenvalue with applications to inner numerical radius [ MR4167048],2020
Journal Article,"Kangal F,Mengi E",Nonsmooth algorithms for minimizing the largest eigenvalue with applications to inner numerical radius,2020
Journal Article,"Boegli S,Marletta M",Essential numerical ranges for linear operator pencils,2020
Journal Article,"Ali M,Nouy A",Singular value decomposition in Sobolev spaces: Part II,2020
